v_4,v_3,v_2,v_1,v_0,f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4",CycleLenMSQ,NumAttractors,GenotypeCount,Robustness_std,Robustness_mean,Evolvability,metagraph_x,metagraph_y
0,0,0,2,12,0101010101010101,0011001100110000,0000111100001111,0000000011111111,1,0,-2,-2,0,2,0,0,0,-1,3,0,0,-1,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,0.504485,-0.157718
0,0,0,2,12,0101010101010101,0111001100110001,0000111100001111,0000000011111111,1,1,-2,-2,0,2,0,0,0,-1,3,0,0,-1,0,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,1.19251,-0.009508
0,0,0,2,12,0101010101010101,0111001100110011,0000111100001111,0000100011111111,1,1,-2,-1,0,3,0,-1,0,-1,3,1,0,-1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,1.29333,-0.200574
0,0,0,2,12,0101010101010101,0111001100110011,0000111100001111,0010000011111111,1,1,-2,-1,0,3,0,1,0,-1,3,-1,0,-1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,1.14005,-0.051947
0,0,0,2,12,0101010101010101,0111001100110011,0000111110001111,0000000011111111,1,1,-1,-2,0,3,-1,0,0,-1,3,0,0,-1,1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,1.24618,0.919696
0,0,0,2,12,0101010101010101,0111001100110011,0010111100001111,0000000011111111,1,1,-1,-2,0,3,1,0,0,-1,3,0,0,-1,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,1.24053,0.300482
0,0,0,2,12,0101010101010101,0011101100100011,0000111100001111,0000000011111111,1,-2,-2,-2,0,3,0,0,0,1,3,0,0,-1,0,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,0.739949,0.157977
0,0,0,2,12,0101010101010101,0011001111110011,0000111100001111,0000000011111111,1,0,-2,-2,0,2,0,0,0,-1,3,0,0,1,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,0.448753,-0.221189
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0100010011111111,1,-2,-2,1,0,3,0,-2,0,0,3,0,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.420753,0.193511
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0101000011111111,1,-2,-2,1,0,3,0,0,0,0,3,-2,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.31082,-0.076146
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001110,0100000011111111,1,-2,-1,1,0,3,-1,-1,0,0,3,-1,0,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.745764,0.523704
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0000000011111010,1,-2,-2,-2,0,3,0,0,0,0,3,-2,0,0,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,-0.271786,0.182427
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0000000011101110,1,-2,-2,-2,0,3,0,-2,0,0,3,0,0,0,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,-0.382738,0.21939
0,0,0,2,12,0101010101010101,0011001100110011,0000111000001110,0000000011111111,1,-2,-2,-2,0,3,-2,0,0,0,3,0,0,0,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,-0.703916,0.810338
0,0,0,2,12,0101010101010101,0011001100110011,0100111101001111,0000000011111111,1,-2,1,-2,0,3,-2,0,0,0,3,0,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-1.00612,0.725691
0,0,0,2,12,0101010101010101,0011001100110011,0100111100001111,0000000011111110,1,-2,1,-1,0,3,-1,-1,0,0,3,-1,0,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.719386,0.355592
0,0,0,2,12,0101010101010101,0011001100110011,0101111100001111,0000000011111111,1,-2,1,-2,0,3,0,0,0,0,2,0,0,0,-1,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.650548,0.596529
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001010,0000000011111111,1,-2,-2,-2,0,3,0,0,0,0,3,0,0,0,-2,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,-0.549086,0.807936
0,0,0,2,12,0101010101010101,0011001100110010,0000111100001111,0100000011111111,1,-1,-2,1,0,3,0,-1,0,-1,3,-1,0,-1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,0.290851,-0.083823
0,0,0,2,12,0101010101010101,0011001000110010,0000111100001111,0000000011111111,1,-2,-2,-2,0,3,0,0,0,-2,3,0,0,0,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,0.64059,0.117689
0,0,0,2,12,0101010101010101,0111001101110011,0000111100001111,0000000011111111,1,1,-2,-2,0,2,0,0,0,-1,3,0,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,1.24826,0.037829
0,0,0,2,12,0101010101010101,0111001100110011,0000111100001111,0000000011111110,1,1,-2,-1,0,3,0,-1,0,-1,3,-1,0,-1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,1.19188,-0.262281
0,0,0,2,12,0101010101010101,0111011100110011,0000111100001111,0000000011111111,1,1,-2,-2,0,2,0,0,0,0,3,0,0,-1,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,1.22457,0.034041
0,0,0,2,12,0101010101010101,0011001100100010,0000111100001111,0000000011111111,1,-2,-2,-2,0,3,0,0,0,0,3,0,0,-2,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,0.673384,0.192796
0,0,0,2,12,0101010101010101,0011001100110010,0100111100001111,0000000011111111,1,-1,1,-2,0,3,-1,0,0,-1,3,0,0,-1,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,0.151674,0.572671
0,0,0,2,12,0101010101010101,0111001100110011,0000111100001110,0000000011111111,1,1,-1,-2,0,3,-1,0,0,-1,3,0,0,-1,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,1.28556,0.372253
0,0,0,2,12,0101010111011101,0011001100110011,0000111100001111,0000000011111111,2,-2,-2,-2,-1,3,0,0,0,0,3,0,1,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.890913,-0.58979
0,0,0,2,12,0101110101011101,0011001100110011,0000111100001111,0000000011111111,2,-2,-2,-2,-1,3,0,0,1,0,3,0,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.680853,-0.389105
0,0,0,2,12,0101010111010101,0011001100110011,0000111100001111,0000100011111111,3,-2,-2,-1,-1,3,0,-1,-1,0,3,1,1,0,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.321935,-0.815938
0,0,0,2,12,0101010111010101,0011001100110011,0000111100001111,0010000011111111,3,-2,-2,-1,-1,3,0,1,-1,0,3,-1,1,0,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.614967,-0.600228
0,0,0,2,12,0101010111010101,0011001100110011,0100111100001111,0000000011111111,3,-2,1,-2,-1,3,-1,0,-1,0,3,0,1,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.731316,-0.165268
0,0,0,2,12,0101110101010101,0011001100110011,0000111100001111,0010000011111111,3,-2,-2,-1,-1,3,0,1,1,0,3,-1,-1,0,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.409934,-0.274739
0,0,0,2,12,0101110101010101,0011001100110011,0000111100001111,0100000011111111,3,-2,-2,1,-1,3,0,-1,1,0,3,-1,-1,0,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.444275,-0.329932
0,0,0,2,12,0101110101010101,0011001100110011,0000111110001111,0000000011111111,3,-2,-1,-2,-1,3,-1,0,1,0,3,0,-1,0,1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.899435,0.256409
0,0,0,2,12,0101010111010101,0011001100110011,0000111100001111,0000000011111110,3,-2,-2,-1,-1,3,0,-1,-1,0,3,-1,1,0,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.396549,-0.69866
0,0,0,2,12,0101110101010101,0011001100110011,0000111100001111,0000000011111110,3,-2,-2,-1,-1,3,0,-1,1,0,3,-1,-1,0,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.65419,-0.134112
0,0,0,2,12,0101010111010101,0011001100110011,0000111100001110,0000000011111111,3,-2,-1,-2,-1,3,-1,0,-1,0,3,0,1,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.830345,-0.283552
0,0,0,2,12,0101110101010101,0011001100110011,0000111100001110,0000000011111111,3,-2,-1,-2,-1,3,-1,0,1,0,3,0,-1,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.678779,0.127571
0,0,0,2,12,0101010111010101,0011001100110011,0010111100001111,0000000011111111,3,-2,-1,-2,-1,3,1,0,-1,0,3,0,1,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.575236,-0.295531
0,0,0,2,12,0101110101010101,0011001100110011,0010111100001111,0000000011111111,3,-2,-1,-2,-1,3,1,0,1,0,3,0,-1,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.753947,0.132426
0,0,0,2,12,0101010011010101,0011001100110011,0000111100001111,0000000011111111,2,-2,-2,-2,-1,3,0,0,-1,0,3,0,1,0,0,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,-0.840276,-0.903521
0,0,0,2,12,0101111101010101,0011001100110011,0000111100001111,0000000011111111,2,-2,-2,-2,0,3,0,0,1,0,3,0,-1,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.65836,-0.66605
0,0,0,2,12,0101010101010000,0011001100110011,0000111100001111,0000000011111111,2,-2,-2,-2,0,3,0,0,-1,0,3,0,-1,0,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,-0.478359,-0.780384
0,0,0,2,12,0101010101010100,0011001100110011,0000111100001111,0000100011111111,3,-2,-2,-1,-1,3,0,-1,-1,0,3,1,-1,0,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.718732,-0.433485
0,0,0,2,12,0101010101010100,0011001100110011,0000111100001111,0100000011111111,3,-2,-2,1,-1,3,0,-1,-1,0,3,-1,-1,0,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.500813,-0.332796
0,0,0,2,12,0101010101010100,0011001100110011,0000111110001111,0000000011111111,3,-2,-1,-2,-1,3,-1,0,-1,0,3,0,-1,0,1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.980474,0.077977
0,0,0,2,12,0101010101010100,0011001100110011,0100111100001111,0000000011111111,3,-2,1,-2,-1,3,-1,0,-1,0,3,0,-1,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.839602,0.15911
0,0,0,2,12,0111010101010001,0011001100110011,0000111100001111,0000000011111111,2,-2,-2,-2,1,3,0,0,-1,0,3,0,-1,0,0,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,-0.80134,-0.897793
0,0,0,2,12,0111010101010101,0011001100110011,0000111100001111,0000100011111111,3,-2,-2,-1,1,3,0,-1,-1,0,3,1,-1,0,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.661107,-0.293334
0,0,0,2,12,0111010101010101,0011001100110011,0000111100001111,0100000011111111,3,-2,-2,1,1,3,0,-1,-1,0,3,-1,-1,0,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.72571,-0.266017
0,0,0,2,12,0111010101010101,0011001100110011,0000111110001111,0000000011111111,3,-2,-1,-2,1,3,-1,0,-1,0,3,0,-1,0,1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-1.03181,0.126769
0,0,0,2,12,0111010101010101,0011001100110011,0100111100001111,0000000011111111,3,-2,1,-2,1,3,-1,0,-1,0,3,0,-1,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.861599,0.1323
