v_4,v_3,v_2,v_1,v_0,f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4",CycleLenMSQ,NumAttractors,GenotypeCount,Robustness_std,Robustness_mean,Evolvability
1,0,0,0,0,0100010000000000,0000111110001111,0010111100101111,0000111100001010,1,-1,-2,-2,-3,-1,1,0,0,3,3,3,-3,1,0,-2,1.0,3,320,0.012968645414571595,0.06770833333333333,89
1,0,0,0,0,0100010000000000,0000111010001111,0010111100101111,0000111100001010,1,-2,-2,-2,-3,-2,1,0,0,3,3,3,-3,2,0,-2,1.0,3,1280,0.012968645414571595,0.06770833333333333,99
1,0,0,0,0,0100010000000000,0000111010001111,0010111100101111,0011111100001011,1,-2,-2,-1,-3,-2,1,2,0,3,3,3,-3,2,0,-2,1.0,3,320,0.010673907047874583,0.057291666666666664,99
1,0,0,0,0,0100010000000000,0011111110111111,0010111100101111,0011111100001011,1,-2,-2,-1,-3,3,1,2,0,3,3,3,-3,1,0,-2,1.0,3,480,0.012251582475262049,0.078125,103
1,0,0,0,0,0100010000000000,0010101110111011,0010111100101111,0011111100001011,1,-3,-2,-1,-3,3,1,2,0,1,3,3,-3,1,0,-2,1.0,3,320,0.012968645414571595,0.06770833333333333,97
1,0,0,0,0,0100010011001100,0010101110111011,0010111100101111,0011111100001011,1,-3,-2,-1,-3,3,1,2,0,1,3,3,1,1,0,-2,2.2,5,64,0.012757759076995718,0.041666666666666664,82
1,0,0,0,0,0100010011011101,0010101110111011,0010111100101111,0011111100001011,1,-3,-2,-1,-3,3,1,2,0,1,3,3,3,1,0,-2,2.0,6,240,0.018435505489525394,0.05243055555555556,92
1,0,0,0,0,0100010011011101,0000101010001010,0010111100101111,0011111100001011,1,-3,-2,-1,-3,-1,1,2,0,2,3,3,3,1,0,-2,2.2,5,60,0.016900129893941608,0.042013888888888885,84
1,0,0,0,0,0100010011011101,0000101010001010,0010111111111111,0011111100001011,1,-3,-2,-1,-3,-1,1,2,0,2,3,3,3,1,3,-2,1.75,4,90,0.017165565408761494,0.04722222222222222,98
1,0,0,0,0,0100010011011101,0000101010101010,0010111111111111,0011111100001011,1,-3,-2,-1,-3,0,1,2,0,1,3,3,3,1,3,-2,1.75,4,360,0.019391669452004448,0.06284722222222222,99
1,0,0,0,0,0111010111111111,0000101010101010,0010111111111111,0011111100001011,2,-3,-2,-1,1,0,1,2,-1,1,3,3,2,1,3,-2,2.0,3,144,0.012398313243998003,0.057291666666666664,102
1,0,0,0,0,0111010111111111,0000101010101010,0111111111111111,0011111100001011,2,-3,1,-1,1,0,1,2,-1,1,1,3,2,1,1,-2,2.5,2,1944,0.010842010413886107,0.11979166666666667,146
1,0,0,0,0,0111010111111111,0000101010101010,0111111100000101,0011111100001011,2,-3,2,-1,1,0,1,2,-1,1,2,3,2,1,-3,-2,2.5,2,24,0.010842010413886107,0.036458333333333336,88
1,0,0,0,0,0111010111110101,0000101010101010,0111111100000101,0011111100001011,3,-3,2,-1,1,0,1,2,-2,1,2,3,1,1,-3,-2,2.5,2,4,0.009021097956087902,0.015625,74
1,0,0,0,0,0101010011010101,0000101010101010,0111111100000101,0011111100001011,2,-3,2,-1,-1,0,1,2,-1,1,2,3,1,1,-3,-2,4.666666666666667,3,16,0.009021097956087902,0.015625,84
1,0,0,0,0,0101010011010101,0101111111111111,0111111100000101,0011111100001011,2,1,2,-1,-1,0,1,2,-1,1,2,3,1,1,-3,-2,3.6666666666666665,3,144,0.012665548974675514,0.05960648148148148,117
1,0,0,0,0,0101010011010101,0100110011011111,0111111100000101,0011111100001011,2,1,2,-1,-1,-3,1,2,-1,1,2,3,1,3,-3,-2,1.0,2,16,0.007365695637359871,0.010416666666666666,91
1,0,0,0,0,0101010011010101,0100010011011101,0111111100000101,0011111100001011,2,1,2,-1,-1,-3,1,2,-1,0,2,3,1,3,-3,-2,1.0,2,60,0.016077551253875316,0.02638888888888889,94
1,0,0,0,0,0101010011010101,0100010011011101,0111111100000101,0010111100001011,2,1,2,-2,-1,-3,1,1,-1,0,2,3,1,3,-3,-1,1.0,2,240,0.016077551253875316,0.02638888888888889,103
1,0,0,0,0,0000000011000000,0100010011011101,0111111100000101,0010111100001011,-2,1,2,-2,-3,-3,1,1,-3,0,2,3,3,3,-3,-1,1.0,1,1200,0.01858206688924952,0.06805555555555555,109
1,0,0,0,0,0000000010000000,0100010011011101,0111111100000101,0010111100001011,-3,1,2,-2,-3,-3,1,1,-3,0,2,3,1,3,-3,-1,1.0,1,2160,0.020467139154041327,0.08599537037037037,123
1,0,0,0,0,0100000011000000,0100010011011101,0111111100000101,0010111100001011,1,1,2,-2,-3,-3,1,1,-3,0,2,3,1,3,-3,-1,1.0,1,360,0.019157103089074614,0.04722222222222222,106
1,0,0,0,0,0100110011001101,0100010011011101,0111111100000101,0010111100001011,1,1,2,-2,-3,-3,1,1,1,0,2,3,2,3,-3,-1,3.6666666666666665,3,240,0.016077551253875316,0.02638888888888889,106
1,0,0,0,0,0100110011001101,0100010011011101,0111111100000101,0000111000001000,1,1,2,-2,-3,-3,1,-2,1,0,2,3,2,3,-3,-2,5.0,2,300,0.019043485001114014,0.03888888888888889,111
1,0,0,0,0,0100110011001101,0101010111111101,0111111100000101,0000111000001000,1,3,2,-2,-3,-1,1,-2,1,-1,2,3,2,2,-3,-2,25.0,2,20,0.010206207261596574,0.012499999999999999,101
1,0,0,0,0,0100111111011111,0101010111111101,0111111100000101,0000111000001000,1,3,2,-2,-2,-1,1,-2,3,-1,2,3,2,2,-3,-2,1.0,2,25,0.01102396379610246,0.024999999999999998,99
1,0,0,0,0,0100111111011111,0101010111111101,0111111100000101,0000111100001110,1,3,2,-1,-2,-1,1,-1,3,-1,2,3,2,2,-3,-1,2.5,2,5,0.004166666666666667,0.012499999999999999,85
1,0,0,0,0,0100111111011111,0101010111111101,0111111100000101,0000111000001010,1,3,2,-2,-2,-1,1,-1,3,-1,2,3,2,2,-3,-1,1.0,2,5,0.004166666666666667,0.012499999999999999,86
1,0,0,0,0,0100111111011111,0101010111111111,0111111100000101,0000111000001010,1,1,2,-2,-2,0,1,-1,3,0,2,3,2,1,-3,-1,1.0,2,100,0.016666666666666666,0.05416666666666667,102
1,0,0,0,0,0100111111011111,0101010111111111,0100110100000100,0000111000001010,1,1,1,-2,-2,0,-3,-1,3,0,3,3,2,1,-3,-1,1.0,2,1200,0.02113211674264297,0.07847222222222222,115
1,0,0,0,0,0100111111011111,0101010111111111,0000100000000000,0000111000001010,1,1,-3,-2,-2,0,-3,-1,3,0,1,3,2,1,-3,-1,1.0,1,3600,0.020933081679668713,0.11377314814814815,132
1,0,0,0,0,0100111111011111,0101010111111111,0100110101000100,0000111000001010,1,1,2,-2,-2,0,-2,-1,3,0,1,3,2,1,-1,-1,1.0,2,400,0.018221724671391566,0.06458333333333334,107
